	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
1	2	158	12	6	1	10	2	0	1	0	0	1	1	1	2	0	0	1	0	1
2	0	6	174	18	1	6	1	0	0	0	0	0	2	0	0	1	0	0	0	0
3	1	4	9	171	10	5	4	0	0	0	1	1	2	0	0	0	0	0	0	0
4	0	5	6	7	177	1	1	0	0	0	0	0	5	0	0	0	0	0	0	0
5	0	15	2	3	0	187	1	1	0	0	1	0	0	0	0	0	0	0	0	0
6	0	3	1	8	7	1	160	8	1	2	0	0	4	0	3	0	1	0	0	0
7	0	0	0	1	0	0	3	149	1	0	0	0	3	0	0	0	1	0	0	0
8	0	0	0	0	0	0	1	2	168	0	0	0	0	0	0	0	0	0	0	0
9	1	0	0	1	0	0	2	0	0	201	6	0	1	0	0	0	0	0	0	0
10	0	0	0	0	1	0	1	0	0	2	193	0	0	0	0	0	0	0	0	0
11	0	2	1	0	0	1	0	1	0	0	0	191	0	0	0	0	0	0	0	1
12	0	1	0	6	3	1	0	2	2	0	0	3	164	0	0	0	0	0	1	0
13	0	2	2	0	0	0	1	0	0	0	0	0	2	197	1	0	1	1	2	0
14	0	2	0	0	0	0	1	0	0	0	0	0	1	3	195	0	0	0	0	0
15	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	1	0	0
16	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	191	0	2	0
17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	195	0	0
18	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	10	5	126	1
19	15	0	0	0	1	0	0	0	0	0	1	0	0	2	0	7	3	0	1	87
